Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,www.journeys-api.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.www.journeys-api.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.www.journeys-api.sentiance.com.txt
http,80,journeys-preprod-api.sentiance.com,Timeout,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.journeys-preprod-api.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.journeys-preprod-api.sentiance.com.txt
http,80,www.journeys-preprod-api.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.www.journeys-preprod-api.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.www.journeys-preprod-api.sentiance.com.txt
http,80,d4.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.d4.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.d4.sentiance.com.txt
http,80,d4.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.d4.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.d4.sentiance.com.txt
http,80,preprod-firehose-sink.sentiance.com,Successful,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.journeys-coaching-preprod.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.preprod-firehose-sink.sentiance.com.txt
http,80,www.preprod-firehose-sink.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.www.preprod-firehose-sink.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.www.preprod-firehose-sink.sentiance.com.txt
http,80,h11.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.h11.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.h11.sentiance.com.txt
http,80,h11.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.h11.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.h11.sentiance.com.txt
http,80,p9.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.p9.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.p9.sentiance.com.txt
